Category,Key,English,Korean,Notes
,e100,Multiplies rage to all enemies by  /x %,모든 적에게 적용된 분노를 /x %로 곱합니다,
,e101,Multiplies weak to all enemies by  /x %,모든 적에게 적용된 약화를 /x %로 곱합니다,
,e102,Multiplies dodge to all enemies by  /x %,모든 적에게 적용된 회피를 /x %로 곱합니다,
,e103,Removes  /x % poison from self,자신에게 적용된 독의 /x %를 제거합니다,
,e104,Removes  /x % regen from self,자신에게 적용된 재생의 /x %를 제거합니다,
,e105,Removes  /x % spikes from self,자신에게 적용된 가시의 /x %를 제거합니다,
,e106,Removes  /x % haste from self,자신에게 적용된 신속의 /x %를 제거합니다,
,e107,Removes  /x % slow from self,자신에게 적용된 감속의 /x %를 제거합니다,
,e108,Removes  /x % rage from self,자신에게 적용된 분노의 /x %를 제거합니다,
,e109,Removes  /x % weak from self,자신에게 적용된 약화의 /x %를 제거합니다,
,e110,Removes  /x % dodge from self,자신에게 적용된 회피의 /x %를 제거합니다,
,e111,Removes  /x % poison from enemy,적에게 적용된 독의 /x %를 제거합니다,
,e112,Removes  /x % regen from enemy,적에게 적용된 재생의 /x %를 제거합니다,
,e113,Removes  /x % spikes from enemy,적에게 적용된 가시의 /x %를 제거합니다,
,e114,Removes  /x % haste from enemy,적에게 적용된 신속의 /x %를 제거합니다,
,e115,Removes  /x % slow from enemy,적에게 적용된 감속의 /x %를 제거합니다,
,e116,Removes  /x % rage from enemy,적에게 적용된 분노의 /x %를 제거합니다,
,e117,Removes  /x % weak from enemy,적에게 적용된 약화의 /x %를 제거합니다,
,e118,Removes  /x % dodge from enemy,적에게 적용된 회피의 /x %를 제거합니다,
,e119,Removes  /x % poison from all enemies,모든 적에게 적용된 독의 /x %를 제거합니다,
,e120,Removes  /x % regen from all enemies,모든 적에게 적용된 재생의 /x %를 제거합니다,
,e121,Removes  /x % spikes from all enemies,모든 적에게 적용된 가시의 /x %를 제거합니다,
,e122,Removes  /x % haste from all enemies,모든 적에게 적용된 신속의 /x %를 제거합니다,
,e123,Removes  /x % slow from all enemies,모든 적에게 적용된 감속의 /x %를 제거합니다,
,e124,Removes  /x % rage from all enemies,모든 적에게 적용된 분노의 /x %를 제거합니다,
,e125,Removes  /x % weak from all enemies,모든 적에게 적용된 약화의 /x %를 제거합니다,
,e126,Removes  /x % dodge from all enemies,모든 적에게 적용된 회피의 /x %를 제거합니다,
,e126pebs,Adds /x poison to everyone but self,자신을 제외한 모두에게 독을 /x 추가합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e126bebs,Adds /x burn to everyone but self,자신을 제외한 모두에게 화상을 /x 추가합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e127,Adds /x damage to Scratch,긁기의 피해를 /x 만큼 강화합니다,
,e128,Draw /x carvings, /x 개의 인각을 얻습니다,
,e129,Adds rough hide to enemy,적에게 성급한 엄폐를 추가합니다, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,e130, /x energy to the cost of reorganizing in combat,전투 중 재배치에 사용하는 에너지가 /x 늘어납니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e130b, /x energy to the cost of clearing carvings in combat,전투 중 인각 청소에 사용하는 에너지가 /x 늘어납니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e131,Summons Pet,펫 소환, WARNING: ENGLISH PLACEHOLDER #####################################################
,e132,Friendlies alongside get /x energy,곁에 있는 아군이 에너지를 /x 얻습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e133,Friendlies in front get /x block,맨 앞에 있는 아군이 방어를 /x 얻습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e134,Friendlies alongside get /x health,곁에 있는 아군이 체력을 /x 얻습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e135,Friendlies alongside are revived,곁에 있는 아군이 부활합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e136,Friendlies behind are revived,뒤에 있는 아군이 부활합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e137,Friendlies alongside are revived with full health,곁에 있는 아군이 최대 체력으로 부활합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e138,Friendlies behind are revived with full health,뒤에 있는 아군이 최대 체력으로 부활합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e139,Friendlies behind get /x rage,뒤에 있는 아군이 분노를 /x 얻습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e139block,Adds /x block to all friendlies,모든 아군에게 방어를 /x 추가합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e140,Move to the front,앞으로 이동, WARNING: ENGLISH PLACEHOLDER #####################################################
,e141,Pet gets /x poison,펫이 독을 /x 받습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e142,Frontmost friendly gets /x hp,가장 앞에 있는 아군이 체력을 /x 얻습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e143,User moves back one space,사용자가 한 칸 뒤로 이동합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e144,food + /x ,음식 + /x , WARNING: ENGLISH PLACEHOLDER #####################################################
,e145, /x material, /x 재료, WARNING: ENGLISH PLACEHOLDER #####################################################
,e146, /x treasure, /x 보물, WARNING: ENGLISH PLACEHOLDER #####################################################
,e147, /x population, /x 인구, WARNING: ENGLISH PLACEHOLDER #####################################################
,e148,Can be returned to Orderia,오데리아로 보낼 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e149,Friendlies alongside get /x spikes,곁에 있는 아군이 가시를 /x 얻습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e150,Summoned pets deal /x damage,소환된 펫이 /x 의 피해를 입힙니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e151,Pulls backmost enemy to the front of the group,가장 후방에 있는 적을 전방으로 끌어당깁니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e152,Pushes frontmost enemy to the back of the group,가장 전방에 있는 적을 후방으로 밀어냅니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e153,Pet gets zombie,펫이 좀비를 받습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e154,Adds exhaust,탈진을 추가합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e155,Adds /x curse to self,스스로에게 /x 의 저주를 입힙니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,e156,Removes /x curse from self,스스로에게서 /x 의 저주를 제거합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
create effects,ceg, /x gold, /x 골드, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cec,Creates a curse,저주를 하나 생성합니다,
,ceb,Creates a blessing,축복을 하나 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce1,Creates an Ethereal Arrow in this column,이 열에 천상의 화살을 하나 생성합니다,
,ce2,Creates Ethereal Shivs in each empty space in this column,이 열에 있는 모든 빈칸에 천상의 단도를 생성합니다, WARNING: ENGLISH TEXT CHANGED #####################################################
,ce3,Creates Ethereal Energy in this column,이 열에 천상의 에너지를 생성합니다,
,ce4,Creates a fish in an adjacent space,사방으로 인접한 칸에 생선을 하나 생성합니다,
,ce5,Creates any item,무작위의 아이템을 생성합니다,
,ce6,Creates /x gold,골드를 /x 개 생성합니다,
,ce7,Creates a drink in this row,이 행에 음료를 하나 생성합니다,
,ce8,Creates a potion in this row,이 행에 물약을 하나 생성합니다,
,ce9,Creates an herb in this row,이 행에 약초를 하나 생성합니다,
,ce10,Creates a gem,보석을 하나 생성합니다,
,ce11,Another Slime Sword will be created at the end of combat,전투가 끝나면 새로운 슬라임 검이 생성됩니다,
,ce12,Creates something really good… or a horrible curse,아주 좋은 아이템이나... 끔찍한 저주를 생성합니다,
,ce13,Replaced by an Ethereal Blade,천상의 검으로 교체됩니다,
,ce14,Replaced by Blade Summoner,칼날 소환기로 교체됩니다,
,ce15,Replaced with an Empty Cup,빈 잔으로 교체됩니다,
,ce16,Replaced by Illusory Blade,현혹의 칼날로 교체됩니다,
,ce17,Replaced by Illusory Duct Tape,현혹의 테이프로 교체됩니다,
,ce17moth,Replaced with new Moth Bomb,새로운 나방 폭탄으로 교체됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce18,Creates a brick in this row,이 행에 벽돌을 하나 생성합니다,
,ce19,Creates a Rocket in this column,이 열에 로켓을 하나 생성합니다,
,ce20,Creates shurikens in each empty space in this column,이 열에 있는 모든 빈칸에 표창을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce21,Creates shurikens in each empty space in this row,이 행에 있는 모든 빈칸에 표창을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce21forestHeart,Creates copies in each empty space in this row,이 행에 있는 모든 빈칸에 복사본을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce22,Creates a shuriken in this space,이 칸에 표창을 하나 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce23,Creates shurikens in each empty space in this row and column,이 열과 행에 있는 모든 빈칸에 표창을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce24,Creates shurikens in empty adjacent spaces,사방으로 인접한 빈칸에 표창을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce25,Creates a shuriken,표창을 하나 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce26,Creates shurikens in empty diagonal spaces,대각선으로 인접한 빈칸에 표창을 소환합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce27,Creates shurikens in each empty space in a diagonal line,대각선에 있는 모든 빈칸에 표창을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce28,Creates shurikens in every empty space,모든 빈칸에 표창을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce29,"If there is an empty space above, creates a totem",위에 빈칸이 있을 시 토템을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce30,Creates a ManaStone,마나스톤을 하나 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce31,Creates Matryoshkas in empty adjacent spaces,사방으로 인접한 빈칸에 마트료시카를 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce32,Creates Goo in adjacent spaces,사방으로 인접한 빈칸에 끈끈이를 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce33,Creates Fire in a random adjacent or diagonal space,팔방으로 인접한 무작위 칸 하나에 불을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce34,Replaced with a Malediction,악의로 교체되었습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce35,Creates /x maladies in adjacent or diagonal spaces,팔방으로 인접한 칸에 질병을 /x 개 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce36,Creates smoke plumes in spaces in this column,이 열의 칸에 연기 구름을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce37,Creates smoke puffs in spaces in this row,이 행의 칸에 연기 연무를 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce38,Creates noxious fumes ,유해한 연기를 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce39,Creates static in the space below,아래 칸에 잡음을 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce40,Creates a common item,흔한 아이템 하나를 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce41,Select an item to be destroyed,파괴할 아이템을 선택하세요, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce41x,Select /x item(s) to be destroyed,파괴할 아이템 /x 개를 선택하세요, WARNING: ENGLISH PLACEHOLDER #####################################################
,ce41xx,Increases the number of items that must be destroyed (resets each combat),파괴해야 하는 아이템 수가 증가합니다 (매 전투마다 초기화), WARNING: ENGLISH PLACEHOLDER #####################################################
,ce42,Select a common item to be duplicated,복제할 흔한 아이템 하나를 선택하세요, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,ce43,create a new item of the same size,같은 크기의 새로운 아이템 하나를 생성합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
Movement effects,me1,turns clockwise,시계 방향으로 회전합니다,
,me2,turns around,회전합니다,
,me3,turns counter-clockwise,반시계 방향으로 회전합니다,
,me4,moves forward until stopped,멈출 때까지 전진합니다,
,me5,moves forward one space,한 칸 전진합니다,
,me6,moves up one space,한 칸 위로 움직입니다,
,mePull,"Pulls items closer. If the item cannot move closer, it will be destroyed",아이템을 가까이 끌어당깁니다. 아이템을 가까이 가져올 수 없으면 파괴됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,meRan,Moves to a random space,무작위 칸으로 이동합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,meRanR,Moves to a random space [to the right],[오른쪽]에 있는 무작위 칸으로 이동합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,meRanL,Moves to a random space [to the left],[왼쪽]에 있는 무작위 칸으로 이동합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,meRanU,Moves to a random space [above],[위쪽]에 있는 무작위 칸으로 이동합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,meRanD,Moves to a random space [below],[아래쪽]에 있는 무작위 칸으로 이동합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,amApplied,From  /x , /x 의 영향으로,
,am1,All weapons get this effect applied,모든 무기에 다음 효과가 부여됩니다,
,am2,All shields get this effect applied,모든 방패에 다음 효과가 부여됩니다,
,am3,All wands get this effect applied,모든 지팡이에 다음 효과가 부여됩니다,
,am4,All bows get this effect applied,모든 활에 다음 효과가 부여됩니다,
,am5,All arrows get this effect applied,모든 화살에 다음 효과가 부여됩니다,
,am6,The item between the wings gets this effect applied,날개 사이의 아이템에 다음 효과가 부여됩니다,
,am7,Weapons in this column get this effect applied this combat,이 열에 있는 무기들은 이번 전투에 다음 효과가 부여됩니다,
,am8,Adjacent weapons get this effect applied,사방으로 인접한 무기들에 다음 효과가 부여됩니다,
,am9,All armor gets this effect applied,모든 보호구에 다음 효과가 부여됩니다, WARNING: AUTO-TRANSLATION #####################################################
,am10,All manastones get this effect applied,모든 마나스톤에 다음 효과가 부여됩니다, WARNING: AUTO-TRANSLATION #####################################################
,am11,All adjacent items get this effect applied,모든 사방으로 인접한 아이템에 다음 효과가 부여됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
item status effects,is1,disabled,비활성화됨, WARNING: ENGLISH TEXT CHANGED #####################################################
,is2,projectile,투사체, WARNING: ENGLISH TEXT CHANGED #####################################################
,is2b,Projectile,투사체, WARNING: AUTO-TRANSLATION #####################################################
,is2bd,Projectile attacks do not cause damage from spikes,투사체로 공격을 할 시 가시로부터 피해를 받지 않습니다, WARNING: AUTO-TRANSLATION #####################################################
,is3,anchored,정박함, WARNING: ENGLISH TEXT CHANGED #####################################################
,is3b,Anchored,정박함, WARNING: AUTO-TRANSLATION #####################################################
,is3bd,Anchored items cannot be moved,정박한 아이템은 움직일 수 없습니다, WARNING: AUTO-TRANSLATION #####################################################
,is4,This item is enflamed,이 아이템은 불타고 있습니다,
,is5,Conductive,전도체,
,is5d,Magic items get mana from manastones that are adjacent or connected through conductive items,마법 아이템은 사방으로 인접한 마나스톤이나 전도성이 있는 아이템을 통해 마나를 받습니다, WARNING: AUTO-TRANSLATION #####################################################
,is6,This item is heavy,이 아이템은 무겁습니다,
,is6b,heavy,무거움, WARNING: AUTO-TRANSLATION #####################################################
,is6bd,Heavy items move to the bottom of your Backpack,무거운 아이템들은 가방 아래로 이동합니다, WARNING: AUTO-TRANSLATION #####################################################
,is7,This item floats,이 아이템은 위로 뜹니다,
,is7b,floats,뜸, WARNING: AUTO-TRANSLATION #####################################################
,is7bd,Floating items move to the top of your Backpack,뜨는 아이템은 가방 위로 이동합니다, WARNING: AUTO-TRANSLATION #####################################################
,is8,Can be played over other items,다른 아이템 위에 사용될 수 있습니다,
,is9,All effects applied to this are passed to adjacent items,이 아이템에 적용된 모든 효과는 사방으로 인접한 모든 아이템들에게 적용됩니다,
,is10,This item can be used directly,이 아이템은 직접 사용할 수 있습니다,
,is11,Piercing,관통, WARNING: AUTO-TRANSLATION #####################################################
,is11d,Piercing attacks go through armor,관통 공격은 방어를 뚫고 들어갑니다, WARNING: AUTO-TRANSLATION #####################################################
,is12,Items can be placed in illusory spaces -as long as at least one space is not illusory,최소 한 칸이 환상의 칸이 아닐 경우 환상의 칸에 아이템을 넣을 수 있습니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,is13,"If a charge exits your backpack, it will reappear at this item",가방에서 전하가 빠져나가면 이 아이템이 다시 나타납니다, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,is14,Active!,활성화!, WARNING: ENGLISH PLACEHOLDER #####################################################
,is15,Can be moved in combat,전투 중에 옮길 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is15b,Can be moved diagonally in combat,전투 중에 대각선으로 옮길 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is15c,Can be moved to adjacent spaces in combat,전투 중에 사방으로 옮길 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is16,Allows free reordering of pets,대가 없이 펫을 재배치할 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is17,Pets can't hold,펫이 들 수 없습니다, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,is18,Pets are summoned behind Pochette,펫이 포셰트 뒤에 소환됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is19,"When taking a lethal hit, the effigy is used instead",사망할 정도의 공격을 받으면 인형이 대신 사용됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is20,Scratch once more,한 번 더 긁기를 사용합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is21,Natural,자연, WARNING: ENGLISH PLACEHOLDER #####################################################
,is21d,Natural carvings will always be drawn on the first turn,자연 인각은 항상 첫 번째 차례에 사용됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is22,Cleansed,정화됨, WARNING: ENGLISH PLACEHOLDER #####################################################
,is22d,The curse has been lifted and this item can be left behind,저주가 풀렸으며 이 아이템을 남겨둘 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is23,The space this occupies counts as empty,이것이 차지하는 칸은 빈칸으로 간주됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is24,Ghostly,유령, WARNING: ENGLISH PLACEHOLDER #####################################################
,is24d,This item cannot be detected,이 아이템은 감지할 수 없습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is25,You are invincible ,무적입니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is26,Cannot be rotated,회전할 수 없습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is27,Energy carries between turns,에너지는 다른 차례에도 유지됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is28,You cannot place items of the same type next to each other,같은 유형의 아이템은 나란히 배치할 수 없습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is29,"""each turn"" effects are applied again","""매 차례"" 효과가 다시 적용됩니다", WARNING: ENGLISH PLACEHOLDER #####################################################
,is30,You cannot gain gold,골드를 얻을 수 없습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is31,You cannot find rare or legendary items in combat rewards,전투 보상에서 희귀하거나 전설적인 아이템을 찾을 수 없습니다, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,is32,Keep half your block next turn,다음 차례에 방어의 절반을 유지합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is33,Must be placed at the edge of your Backpack,백팩 가장자리에 배치해야 됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is34,Cannot be placed at the edge of your Backpack,백팩 가장자리에 배치할 수 없습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is35,Unique,유니크, WARNING: ENGLISH PLACEHOLDER #####################################################
,is35d,Can only find one of this item at a time,한 번에 이 항목 중 하나만 찾을 수 있습니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,is36,Vampiric,흡혈, WARNING: ENGLISH PLACEHOLDER #####################################################
,is36d,Heals for all damage dealt to non-summons,소환수가 아닌 대상에게 입힌 모든 피해를 치유합니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,efm,Multipliers,배수, WARNING: ENGLISH TEXT CHANGED #####################################################
,isCurseMBPO,Must be played on:,다음 아이템에 사용해야 합니다:, WARNING: ENGLISH PLACEHOLDER #####################################################
,isCurseMBPO2,Must be played on an item,아이템에 사용해야 함, WARNING: ENGLISH PLACEHOLDER #####################################################
effect,base,Base,기본,
,twice,twice,두 번, WARNING: AUTO-TRANSLATION #####################################################
,m1,permanent /x damage,영구적으로 피해 /x 증가, WARNING: ENGLISH TEXT CHANGED #####################################################
modifiers,m2,destroyed,파괴됨, WARNING: ENGLISH TEXT CHANGED #####################################################
,m3,Adjacent curses are destroyed,사방으로 인접한 저주가 파괴됩니다,
,m4, /x damage to enemy,적에게 /x 피해, WARNING: ENGLISH TEXT CHANGED #####################################################
,m5, /x damage to self,스스로에게 /x 피해, WARNING: ENGLISH TEXT CHANGED #####################################################
,m6, /x damage, /x 피해, WARNING: ENGLISH TEXT CHANGED #####################################################
,m6u, /x damage until used,사용 전까지 /x 피해, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,m6d, /x damage until discard,버릴 때까지 /x 피해, WARNING: ENGLISH PLACEHOLDER #####################################################
,m7, /x % bonus damage, /x % 추가 피해, WARNING: ENGLISH TEXT CHANGED #####################################################
,m8, /x block, /x 방어, WARNING: ENGLISH TEXT CHANGED #####################################################
,m8b, /x block this turn,이번 차례에 /x 방어, WARNING: ENGLISH PLACEHOLDER #####################################################
,m9, /x block this combat,이번 전투에서 /x 방어, WARNING: ENGLISH TEXT CHANGED #####################################################
,m10,gets /x energy, /x 에너지 얻음, WARNING: ENGLISH TEXT CHANGED #####################################################
,m11,Adjacent armor gets /x block,사방으로 인접한 보호구가 /x 의 방어를 얻습니다,
,m12,Adjacent weapons get /x damage,사방으로 인접한 무기에 /x 의 피해를 더합니다,
,m12mel,Adjacent melee weapons get /x damage,사방으로 인접한 근접 무기에 /x 의 피해를 더합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,m13,Weapons in this row get /x damage,이 행에 있는 무기에 /x 의 피해를 더합니다,
,m13b,Weapons to the right get /x damage,오른족에 있는 무기에 /x 의 피해를 더합니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,m14,Cleavers below get  /x % bonus damage,아래에 있는 중식도에 /x %의 추가 피해를 더합니다,
,m15,Fires the first arrow in each [row to the right],각 [오른쪽 행]에 있는 첫 번째 화살을 발사합니다,
,m16,Fires the first arrow in each [column below],각 [아래쪽 열]에 있는 첫 번째 화살을 발사합니다,
,m17,Fires the first arrow in each [row to the left],각 [왼쪽 행]에 있는 첫 번째 화살을 발사합니다,
,m18,Fires the first arrow in each [column above],각 [위쪽 열]에 있는 첫 번째 화살을 발사합니다,
,m19,Fires all arrows in each [row to the right],각 [오른쪽 행]에 있는 모든 화살을 발사합니다,
,m20,Fires all arrows in each [column below],각 [아래쪽 열]에 있는 모든 화살을 발사합니다,
,m21,Fires all arrows in each [row to the left],각 [왼쪽 행]에 있는 모든 화살을 발사합니다,
,m22,Fires all arrows in each [column above],각 [위쪽 열]에 있는 모든 화살을 발사합니다,
,m23,Adjacent and diagonal structures become conductive,팔방으로 인접한 모든 구조물이 전도체가 됩니다,
,m24,This item is refreshed and can be used again this combat,초기화되어 이번 차례에 다시 사용할 수 있게 됩니다,
,m25,Items in this row are refreshed and can be used again this turn,이 행에 있는 아이템들이 초기화되어 이번 차례에 다시 사용할 수 있게 됩니다,
,m25i,Adjacent instruments are refreshed and can be used again this turn,사방으로 인접한 악기가 모두 초기화되어 다시 사용할 수 있게 됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,m25c,Adjacent carvings are refreshed and can be used again this combat,사방으로 인접한 인각이 초기화되어 이번 차례에 다시 사용할 수 있게 됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,m26,selected adjacent Weapons get  /x % bonus damage this combat,사방으로 인접한 무기 중 선택된 무기가 이번 전투에 /x %의 추가 피해를 입힙니다,
,m27,All weapons get  /x % bonus damage,모든 무기에 /x %의 추가 피해를 더합니다,
,m28,The first arrow in each [row to the right] gets  /x % bonus damage,각 [오른쪽 행]에 처음으로 발사된 화살이 /x %의 추가 피해를 입힙니다,
,m29,The first arrow in each [column below] gets  /x % bonus damage,각 [아래쪽 열]에 처음으로 발사된 화살이 /x %의 추가 피해를 입힙니다,
,m30,The first arrow in each [row to the left] gets  /x % bonus damage,각 [왼쪽 행]에 처음으로 발사된 화살이 /x %의 추가 피해를 입힙니다,
,m31,The first arrow in each [column above] gets  /x % bonus damage,각 [위쪽 열]에 처음으로 발사된 화살이 /x %의 추가 피해를 입힙니다,
,m32,Item is disabled,아이템이 비활성화됨, WARNING: ENGLISH TEXT CHANGED #####################################################
,m33,All consumables get  /x % bonus healing,모든 소모품에 /x %의 추가 회복을 더합니다,
,m34,All weapons get /x damage,모든 무기에 /x 의 추가 피해를 더합니다,
,m35,All adjacent weapons are used,사방으로 인접한 모든 무기가 사용됩니다,
,m36,All adjacent cleavers are used,사방으로 인접한 모든 중식도가 사용됩니다,
,m36b,All adjacent and diagonal cleavers are used,팔방으로 인접한 중식도가 사용됩니다, WARNING: ENGLISH PLACEHOLDER #####################################################
,m37,The [above] cleaver is used,[위쪽]에 있는 중식도가 사용됩니다,
,m38,The [right] cleaver is used,[오른쪽]에 있는 중식도가 사용됩니다,
,m39,The cleaver [below] is used,[아래쪽]에 있는 중식도가 사용됩니다,
,m40,The [left] cleaver is used,[왼쪽]에 있는 중식도가 사용됩니다,
,m41,All connected weapons get  /x % bonus damage,연결된 모든 무기가 /x %의 추가 피해를 입힙니다,
,m42,All consumables get /x rage,모든 소모품이 /x 의 분노를 줍니다,
,m43,Adjacent weapons get /x damage this combat,사방으로 인접한 무기들이 이번 전투에서 /x 의 추가 피해를 입힙니다,
,m44,Adjacent weapons get /x damage this turn,사방으로 인접한 무기들이 이번 차례에 /x 의 추가 피해를 입힙니다,
,m45,Adjacent and diagonal weapons get /x damage,팔방으로 인접한 무기들이 /x 의 추가 피해를 입힙니다,
,m46, /x damage this turn,이번 차례에 /x 피해, WARNING: ENGLISH TEXT CHANGED #####################################################
,m46self, /x damage to self this turn,이 아이템이 이번 차례에 자신에게 /x 의 피해를 입힙니다, WARNING: ENGLISH PLACEHOLDER ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,m47, /x damage this combat,이번 전투에 /x 피해, WARNING: ENGLISH TEXT CHANGED #####################################################
,m48,disabled for /y turns,/y 차례 동안 비활성화됨, WARNING: ENGLISH TEXT CHANGED #####################################################
,m49,anchored for /y combats,/y 차례 동안 정박함, WARNING: ENGLISH TEXT CHANGED #####################################################
,m50,Adjacent and diagonal armor gets /x block,팔방으로 인접한 보호구가 /x 의 방어를 얻습니다,
,m50b,Adjacent and diagonal shields and armor get /x block,팔방으로 인접한 보호구와 방패가 /x 의 방어를 얻습니다,
,m51,disabled for the rest of this combat,이 전투가 끝날 때까지 비활성화됨, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,m52,disabled for /y combats,/y 회의 전투 동안 비활성화됨, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
